Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	tree_length
0	-244.7264	-314.3666	69.64014	1.264184	0.1252577	0.0235818	1.191697
6	-247.0302	-316.2241	69.19396	1.453835	0.3244865	0.02602442	0.8782602
12	-245.4231	-313.6397	68.21667	1.380001	0.6437023	0.04263149	1.279689
18	-238.5193	-307.8963	69.37705	1.676512	0.1820746	0.05083624	0.667516
24	-235.5833	-305.1032	69.51983	1.302534	0.204411	0.05083624	0.8965546
30	-245.8687	-313.6182	67.74956	1.324719	0.5249903	0.05083624	1.7709
36	-241.5525	-309.9815	68.42906	1.490788	0.59061	0.05083624	1.023928
42	-245.8485	-314.2862	68.43774	1.38628	0.59061	0.07029041	1.023928
48	-247.3023	-315.4553	68.15299	1.594377	0.9483129	0.03919109	0.7895727
54	-243.1495	-311.9998	68.85028	1.589741	0.3719948	0.08153509	0.6488939
60	-246.0273	-315.771	69.74374	1.375536	0.1754325	0.05109418	0.5107741
66	-249.5105	-319.5588	70.04828	1.540382	0.06657518	0.04058149	0.5859262
72	-242.6644	-312.3909	69.72643	1.718825	0.116819	0.02048864	0.5859262
78	-246.8797	-316.2474	69.36774	1.848722	0.1436283	0.05166516	0.4387887
84	-247.8095	-317.5885	69.77901	1.884283	0.06850737	0.0191535	0.4387887
90	-245.426	-313.4876	68.06156	1.938888	0.3862602	0.01533797	1.362859
96	-243.291	-311.4152	68.12423	1.627922	1.003777	0.01493618	0.7974839
102	-250.6789	-318.1406	67.46174	2.014482	1.003777	0.08415868	0.2943314
108	-246.1053	-313.7678	67.6625	1.871097	1.216162	0.04396336	0.3469627
114	-244.9428	-312.0115	67.06874	1.741548	2.182124	0.06157517	0.3733812
120	-244.2706	-313.9233	69.65267	1.719468	0.08717726	0.06157517	0.3889512
126	-250.2487	-318.5988	68.35015	1.845658	0.5328114	0.06737406	0.3446259
132	-237.7863	-305.6796	67.89335	1.855851	1.077364	0.03524306	0.5789073
138	-237.0453	-305.683	68.63765	1.740683	0.549507	0.03524306	0.5789073
144	-237.0541	-306.6397	69.5856	1.01962	0.07043154	0.0164175	1.613724
150	-238.2901	-307.371	69.08088	1.421884	0.2547483	0.02047217	1.194957
156	-237.1481	-306.4327	69.28465	1.857275	0.1783505	0.04226431	0.4253516
162	-254.5886	-322.8402	68.25168	2.293223	0.1969469	0.09906677	0.2116533
168	-246.3023	-313.9144	67.61205	2.525535	0.2569924	0.06769009	0.1201758
174	-248.6455	-316.0747	67.42919	2.767735	0.5001326	0.02974014	0.2070285
180	-249.8957	-318.0558	68.16002	2.380389	0.3503635	0.02974014	0.2324858
186	-244.6002	-313.1321	68.53193	2.708152	0.120059	0.02974014	0.2578809
192	-239.4403	-309.2291	69.78874	1.645096	0.120059	0.01820462	0.5866688
198	-239.7697	-309.8622	70.0925	1.697293	0.01388513	0.009114846	0.6302417
204	-240.4357	-310.4421	70.00643	1.454162	0.03970854	0.009114846	0.9859758
210	-240.788	-310.7679	69.97993	1.445364	0.06155947	0.04454464	0.8645686
216	-247.2214	-317.1859	69.96448	1.753339	0.04956292	0.01586168	0.6652789
222	-239.7437	-309.6654	69.92165	1.566353	0.109491	0.02049698	0.4999829
228	-246.4221	-315.2761	68.85409	2.139564	0.2108618	0.05089454	0.4094046
234	-235.625	-304.7473	69.12238	1.978289	0.1843101	0.04363413	0.390787
240	-242.8455	-311.2492	68.40369	1.972059	0.4953596	0.04363413	0.3460974
246	-236.7425	-305.1787	68.43623	2.196962	0.3639264	0.02464362	0.2876778
252	-243.8274	-311.72	67.89263	2.158242	0.8379691	0.02464362	0.5106664
258	-246.3484	-315.4831	69.13469	1.913898	0.2112728	0.04261793	0.5460992
264	-243.9722	-312.0332	68.06099	2.123627	0.6765462	0.03875512	0.4469132
270	-249.5033	-316.4374	66.93412	2.166852	1.853589	0.04424022	0.3938839
276	-247.1776	-315.2338	68.05618	2.166852	0.4875869	0.07874224	0.3530158
282	-240.9344	-309.4092	68.47483	1.464536	0.588871	0.1132465	0.631469
288	-242.3248	-311.9131	69.58825	1.080797	0.1365683	0.09162019	1.081655
294	-241.9845	-312.0395	70.05503	0.7395183	0.1365683	0.09162019	0.9584307
300	-236.7326	-306.7215	69.98891	1.384988	0.09295026	0.03809824	0.7844029
306	-238.3502	-308.1523	69.80209	1.7104	0.1028608	0.02078455	0.5363822
312	-237.711	-307.4776	69.76655	1.908953	0.05426056	0.01423722	0.3480455
318	-237.0736	-306.7818	69.70826	1.927196	0.05426056	0.007832888	0.4154159
324	-250.3007	-319.6848	69.38408	2.142403	0.0778352	0.007832888	0.4297838
330	-242.0081	-310.9169	68.90879	2.237974	0.2045816	0.01342709	0.4656672
336	-241.6551	-309.6538	67.99874	1.82733	0.6096758	0.04243179	1.125079
342	-243.6757	-311.7297	68.05401	1.583269	0.8717592	0.06471025	0.871874
348	-246.6166	-314.7523	68.13576	1.663784	0.8717592	0.06471025	0.6214505
354	-255.6316	-324.1468	68.51519	1.588731	0.5549155	0.06471025	0.8023543
360	-252.0575	-320.3359	68.27841	1.138634	0.5549155	0.06471025	1.437269
366	-251.2108	-318.1978	66.98703	1.061937	0.9893161	0.0520869	2.066804
372	-251.3595	-320.5242	69.16468	1.018048	0.3088674	0.09118679	1.077075
